release_year,total_content,movie_count,tv_show_count,movie_percentage,tv_show_percentage,avg_quality_score,earliest_added_date,latest_added_date,created_at
2021,589,275,314,46.69,53.31,91.58,2020-02-13,2021-09-24,2026-08-31T13:16:08.407Z
2020,952,516,436,54.20,45.80,93.89,2019-10-11,2021-09-25,2026-08-31T13:16:08.407Z
2019,1026,630,396,61.40,38.60,94.43,2018-05-29,2021-09-10,2026-08-31T13:16:08.407Z
2018,1145,765,380,66.81,33.19,95.07,2016-12-23,2021-09-22,2026-08-31T13:16:08.407Z
2017,1029,764,265,74.25,25.75,96.0,2016-12-13,2021-09-16,2026-08-31T13:16:08.407Z
2016,901,657,244,72.92,27.08,95.78,2013-03-31,2021-09-06,2026-08-31T13:16:08.407Z
2015,558,396,162,70.97,29.03,95.86,2015-01-23,2021-09-15,2026-08-31T13:16:08.407Z
2014,352,264,88,75.00,25.00,96.63,2014-01-24,2021-09-15,2026-08-31T13:16:08.407Z
2013,288,225,63,78.13,21.88,96.75,2013-08-02,2021-09-19,2026-08-31T13:16:08.407Z
2012,237,173,64,73.00,27.00,96.5,2012-11-14,2021-09-16,2026-08-31T13:16:08.407Z
2011,185,145,40,78.38,21.62,97.3,2012-02-21,2021-09-15,2026-08-31T13:16:08.407Z
2010,192,152,40,79.17,20.83,96.74,2011-05-17,2021-09-20,2026-08-31T13:16:08.407Z
2009,152,118,34,77.63,22.37,97.24,2009-11-18,2021-09-15,2026-08-31T13:16:08.407Z
2008,136,113,23,83.09,16.91,97.9,2016-01-01,2021-09-15,2026-08-31T13:16:08.407Z
2007,88,74,14,84.09,15.91,97.78,2008-02-04,2021-09-15,2026-08-31T13:16:08.407Z
2006,95,82,13,86.32,13.68,98.79,2008-01-01,2021-09-15,2026-08-31T13:16:08.407Z
2005,80,67,13,83.75,16.25,97.94,2015-12-25,2021-09-15,2026-08-31T13:16:08.407Z
2004,64,55,9,85.94,14.06,98.28,2016-01-01,2021-09-15,2026-08-31T13:16:08.407Z
2003,61,51,10,83.61,16.39,97.7,2016-01-01,2021-09-15,2026-08-31T13:16:08.407Z
2002,51,44,7,86.27,13.73,98.53,2016-01-01,2021-09-15,2026-08-31T13:16:08.407Z
2001,45,40,5,88.89,11.11,98.78,2015-10-10,2021-09-16,2026-08-31T13:16:08.407Z
2000,37,33,4,89.19,10.81,98.78,2011-09-27,2021-09-01,2026-08-31T13:16:08.407Z
1999,39,32,7,82.05,17.95,98.08,2016-01-01,2021-09-01,2026-08-31T13:16:08.407Z
1998,36,32,4,88.89,11.11,98.33,2014-11-19,2021-09-21,2026-08-31T13:16:08.407Z
1997,37,33,4,89.19,10.81,98.78,2016-01-01,2021-09-21,2026-08-31T13:16:08.407Z
1996,24,21,3,87.50,12.50,98.13,2016-01-01,2021-09-21,2026-08-31T13:16:08.407Z
1995,25,23,2,92.00,8.00,99.0,2016-01-01,2021-08-18,2026-08-31T13:16:08.407Z
1994,21,19,2,90.48,9.52,98.33,2016-08-01,2021-09-15,2026-08-31T13:16:08.407Z
1993,28,24,4,85.71,14.29,98.04,2017-06-01,2021-09-24,2026-08-31T13:16:08.407Z
1992,23,20,3,86.96,13.04,98.48,2015-06-15,2021-09-01,2026-08-31T13:16:08.407Z
1991,17,16,1,94.12,5.88,98.24,2011-10-01,2021-09-01,2026-08-31T13:16:08.407Z
1990,21,18,3,85.71,14.29,98.1,2011-10-01,2021-09-01,2026-08-31T13:16:08.407Z
1989,16,15,1,93.75,6.25,99.38,2011-10-01,2021-09-01,2026-08-31T13:16:08.407Z
1988,18,16,2,88.89,11.11,98.06,2011-10-01,2021-07-01,2026-08-31T13:16:08.407Z
1987,8,8,0,100.00,0.00,100.0,2010-11-01,2021-09-16,2026-08-31T13:16:08.407Z
1986,13,11,2,84.62,15.38,98.46,2011-10-01,2021-09-01,2026-08-31T13:16:08.407Z
1985,10,9,1,90.00,10.00,98.5,2016-10-01,2021-08-05,2026-08-31T13:16:08.407Z
1984,12,12,0,100.00,0.00,99.58,2017-09-01,2021-09-01,2026-08-31T13:16:08.407Z
1983,11,11,0,100.00,0.00,98.64,2017-09-01,2021-09-16,2026-08-31T13:16:08.407Z
1982,17,17,0,100.00,0.00,99.41,2018-08-16,2021-09-01,2026-08-31T13:16:08.407Z
1981,13,12,1,92.31,7.69,98.46,2016-11-01,2021-06-19,2026-08-31T13:16:08.407Z
1980,11,11,0,100.00,0.00,100.0,2017-12-01,2021-09-01,2026-08-31T13:16:08.407Z
1979,11,10,1,90.91,9.09,97.27,2016-12-01,2020-11-11,2026-08-31T13:16:08.407Z
1978,7,7,0,100.00,0.00,100.0,2017-11-01,2021-09-16,2026-08-31T13:16:08.407Z
1977,7,6,1,85.71,14.29,97.14,2017-02-10,2020-07-01,2026-08-31T13:16:08.407Z
1976,9,9,0,100.00,0.00,98.89,2017-09-01,2021-07-06,2026-08-31T13:16:08.407Z
1975,7,7,0,100.00,0.00,100.0,2017-04-01,2021-09-16,2026-08-31T13:16:08.407Z
1974,7,6,1,85.71,14.29,98.57,2017-09-01,2019-12-31,2026-08-31T13:16:08.407Z
1973,10,10,0,100.00,0.00,100.0,2016-11-01,2021-01-01,2026-08-31T13:16:08.407Z
1972,5,4,1,80.00,20.00,98.0,2018-10-02,2021-06-15,2026-08-31T13:16:08.407Z
1971,5,5,0,100.00,0.00,100.0,2017-04-01,2020-11-01,2026-08-31T13:16:08.407Z
1970,2,2,0,100.00,0.00,100.0,2019-10-01,2020-06-18,2026-08-31T13:16:08.407Z
1969,2,2,0,100.00,0.00,100.0,2017-06-01,2020-01-01,2026-08-31T13:16:08.407Z
1968,3,3,0,100.00,0.00,100.0,2019-11-01,2020-01-01,2026-08-31T13:16:08.407Z
1967,5,4,1,80.00,20.00,98.0,2017-07-01,2021-01-01,2026-08-31T13:16:08.407Z
1966,1,1,0,100.00,0.00,100.0,2017-07-01,2017-07-01,2026-08-31T13:16:08.407Z
1965,2,2,0,100.00,0.00,100.0,2019-11-01,2019-11-01,2026-08-31T13:16:08.407Z
1964,2,2,0,100.00,0.00,100.0,2019-12-31,2021-04-01,2026-08-31T13:16:08.407Z
1963,2,1,1,50.00,50.00,95.0,2017-07-01,2020-06-18,2026-08-31T13:16:08.407Z
1962,3,3,0,100.00,0.00,100.0,2017-07-01,2019-11-01,2026-08-31T13:16:08.407Z
1961,1,1,0,100.00,0.00,100.0,2021-09-01,2021-09-01,2026-08-31T13:16:08.407Z
1960,4,4,0,100.00,0.00,98.75,2017-10-15,2019-12-31,2026-08-31T13:16:08.407Z
1959,1,1,0,100.00,0.00,100.0,2021-07-06,2021-07-06,2026-08-31T13:16:08.407Z
1958,3,3,0,100.00,0.00,100.0,2019-11-01,2020-06-18,2026-08-31T13:16:08.407Z
1956,2,2,0,100.00,0.00,100.0,2019-11-01,2020-06-18,2026-08-31T13:16:08.407Z
1955,3,3,0,100.00,0.00,100.0,2019-11-01,2020-11-13,2026-08-31T13:16:08.407Z
1954,2,2,0,100.00,0.00,100.0,2020-06-18,2020-11-15,2026-08-31T13:16:08.407Z
1947,1,1,0,100.00,0.00,100.0,2017-03-31,2017-03-31,2026-08-31T13:16:08.407Z
1946,2,1,1,50.00,50.00,95.0,2017-02-01,2017-03-31,2026-08-31T13:16:08.407Z
1945,4,3,1,75.00,25.00,90.0,2017-03-31,2021-02-09,2026-08-31T13:16:08.407Z
1944,2,2,0,100.00,0.00,95.0,2017-03-31,2017-03-31,2026-08-31T13:16:08.407Z
1943,3,3,0,100.00,0.00,90.0,2017-03-31,2017-03-31,2026-08-31T13:16:08.407Z
1942,2,2,0,100.00,0.00,95.0,2017-03-31,2017-03-31,2026-08-31T13:16:08.407Z
1925,1,0,1,0.00,100.00,75.0,2018-12-30,2018-12-30,2026-08-31T13:16:08.407Z
