country,total_content,movie_count,tv_show_count,percentage_of_total,avg_quality_score,earliest_release_year,latest_release_year,avg_release_year,years_of_production,created_at
United States,3673,2737,936,36.75,96.32,1942,2021,2013.0,70,2026-08-31T13:16:18.024Z
India,1046,962,84,10.47,98.81,1959,2021,2012.0,57,2026-08-31T13:16:18.024Z
United Kingdom,805,533,272,8.05,95.46,1944,2021,2014.0,45,2026-08-31T13:16:18.024Z
Canada,445,319,126,4.45,96.43,1979,2021,2015.0,29,2026-08-31T13:16:18.024Z
France,392,302,90,3.92,97.09,1955,2021,2014.0,35,2026-08-31T13:16:18.024Z
Japan,318,119,199,3.18,93.76,1979,2021,2014.0,33,2026-08-31T13:16:18.024Z
South Korea,231,61,170,2.31,92.86,2004,2021,2017.0,15,2026-08-31T13:16:18.024Z
Spain,230,169,61,2.30,96.78,1993,2021,2017.0,19,2026-08-31T13:16:18.024Z
Germany,224,180,44,2.24,97.1,1993,2021,2014.0,26,2026-08-31T13:16:18.024Z
Mexico,169,111,58,1.69,95.86,1979,2021,2016.0,24,2026-08-31T13:16:18.024Z
China,162,114,48,1.62,96.67,1986,2021,2016.0,20,2026-08-31T13:16:18.024Z
Australia,160,94,66,1.60,94.78,1979,2021,2014.0,27,2026-08-31T13:16:18.024Z
Egypt,117,102,15,1.17,98.38,1954,2021,2009.0,32,2026-08-31T13:16:18.024Z
Turkey,113,83,30,1.13,97.61,1999,2021,2015.0,18,2026-08-31T13:16:18.024Z
Hong Kong,105,100,5,1.05,99.33,1973,2019,2005.0,38,2026-08-31T13:16:18.024Z
Nigeria,101,93,8,1.01,99.31,2003,2021,2017.0,14,2026-08-31T13:16:18.024Z
Italy,100,75,25,1.00,96.5,1955,2021,2013.0,23,2026-08-31T13:16:18.024Z
Brazil,97,66,31,0.97,95.98,2002,2021,2018.0,12,2026-08-31T13:16:18.024Z
Argentina,91,71,20,0.91,97.03,1985,2021,2016.0,15,2026-08-31T13:16:18.024Z
Indonesia,90,86,4,0.90,99.44,2002,2021,2016.0,16,2026-08-31T13:16:18.024Z
Belgium,90,78,12,0.90,98.22,1991,2021,2016.0,14,2026-08-31T13:16:18.024Z
Taiwan,89,19,70,0.89,92.92,2000,2021,2014.0,20,2026-08-31T13:16:18.024Z
Philippines,83,80,3,0.83,99.76,2006,2021,2016.0,16,2026-08-31T13:16:18.024Z
Thailand,70,46,24,0.70,96.86,1999,2021,2015.0,20,2026-08-31T13:16:18.024Z
South Africa,62,51,11,0.62,97.58,1986,2021,2016.0,15,2026-08-31T13:16:18.024Z
Colombia,52,20,32,0.52,93.46,2003,2021,2017.0,12,2026-08-31T13:16:18.024Z
Netherlands,50,42,8,0.50,96.8,2002,2021,2016.0,12,2026-08-31T13:16:18.024Z
Denmark,48,34,14,0.48,95.42,1989,2021,2015.0,13,2026-08-31T13:16:18.024Z
Ireland,46,32,14,0.46,96.52,1989,2021,2015.0,14,2026-08-31T13:16:18.024Z
Sweden,42,31,11,0.42,95.95,2005,2021,2016.0,12,2026-08-31T13:16:18.024Z
Poland,41,32,9,0.41,97.56,1967,2021,2008.0,20,2026-08-31T13:16:18.024Z
Singapore,41,18,23,0.41,94.63,2009,2021,2015.0,13,2026-08-31T13:16:18.024Z
United Arab Emirates,37,36,1,0.37,99.19,2002,2021,2015.0,11,2026-08-31T13:16:18.024Z
New Zealand,33,25,8,0.33,96.06,1993,2021,2013.0,16,2026-08-31T13:16:18.024Z
Lebanon,31,24,7,0.31,96.77,1975,2020,2010.0,17,2026-08-31T13:16:18.024Z
Israel,30,19,11,0.30,95.0,2012,2021,2017.0,10,2026-08-31T13:16:18.024Z
Norway,30,21,9,0.30,96.0,1999,2021,2016.0,12,2026-08-31T13:16:18.024Z
Chile,29,24,5,0.29,97.93,2006,2020,2016.0,10,2026-08-31T13:16:18.024Z
Russia,27,11,16,0.27,92.22,2011,2021,2016.0,11,2026-08-31T13:16:18.024Z
Malaysia,26,18,8,0.26,96.92,1960,2020,2013.0,14,2026-08-31T13:16:18.024Z
Pakistan,24,20,4,0.24,98.33,2010,2020,2016.0,10,2026-08-31T13:16:18.024Z
Czech Republic,22,16,6,0.22,95.0,2004,2021,2014.0,11,2026-08-31T13:16:18.024Z
Switzerland,19,18,1,0.19,99.47,2009,2018,2015.0,8,2026-08-31T13:16:18.024Z
Romania,14,14,0,0.14,99.29,2003,2019,2015.0,8,2026-08-31T13:16:18.024Z
