genre,total_content,movie_count,tv_show_count,percentage_of_total,avg_quality_score,earliest_release_year,latest_release_year,avg_release_year,created_at
International Movies,2748,2748,0,14.26,98.8,1954,2021,2014.0,2026-08-31T13:16:13.345Z
Dramas,2419,2419,0,12.55,99.62,1954,2021,2013.0,2026-08-31T13:16:13.345Z
Comedies,1670,1670,0,8.66,99.46,1954,2021,2012.0,2026-08-31T13:16:13.345Z
International TV Shows,1350,0,1350,7.00,89.3,1972,2021,2017.0,2026-08-31T13:16:13.345Z
Documentaries,866,866,0,4.49,94.02,1942,2021,2015.0,2026-08-31T13:16:13.345Z
Action & Adventure,857,857,0,4.45,99.59,1956,2021,2010.0,2026-08-31T13:16:13.345Z
TV Dramas,762,0,762,3.95,90.03,1986,2021,2017.0,2026-08-31T13:16:13.345Z
Independent Movies,751,751,0,3.90,99.82,1955,2021,2014.0,2026-08-31T13:16:13.345Z
Children & Family Movies,641,641,0,3.33,98.1,1954,2021,2014.0,2026-08-31T13:16:13.345Z
Romantic Movies,616,616,0,3.20,99.48,1960,2021,2013.0,2026-08-31T13:16:13.345Z
TV Comedies,580,0,580,3.01,89.44,1967,2021,2017.0,2026-08-31T13:16:13.345Z
Thrillers,573,573,0,2.97,99.72,1968,2021,2015.0,2026-08-31T13:16:13.345Z
Crime TV Shows,469,0,469,2.43,89.3,1990,2021,2018.0,2026-08-31T13:16:13.345Z
Kids' TV,451,0,451,2.34,88.5,1979,2021,2016.0,2026-08-31T13:16:13.345Z
Docuseries,395,0,395,2.05,85.42,1988,2021,2017.0,2026-08-31T13:16:13.345Z
Music & Musicals,373,373,0,1.93,97.98,1958,2021,2013.0,2026-08-31T13:16:13.345Z
Romantic TV Shows,370,0,370,1.92,89.47,2002,2021,2016.0,2026-08-31T13:16:13.345Z
Horror Movies,357,357,0,1.85,99.62,1968,2021,2014.0,2026-08-31T13:16:13.345Z
Stand-Up Comedy,343,343,0,1.78,98.78,1979,2021,2016.0,2026-08-31T13:16:13.345Z
Reality TV,254,0,254,1.32,85.63,1988,2021,2018.0,2026-08-31T13:16:13.345Z
British TV Shows,253,0,253,1.31,88.83,1974,2021,2016.0,2026-08-31T13:16:13.345Z
Sci-Fi & Fantasy,243,243,0,1.26,99.73,1956,2020,2012.0,2026-08-31T13:16:13.345Z
Sports Movies,218,218,0,1.13,96.79,1974,2021,2014.0,2026-08-31T13:16:13.345Z
Anime Series,176,0,176,0.91,89.74,1981,2021,2015.0,2026-08-31T13:16:13.345Z
Spanish-Language TV Shows,174,0,174,0.90,89.31,1979,2021,2017.0,2026-08-31T13:16:13.345Z
TV Action & Adventure,168,0,168,0.87,90.3,1993,2021,2017.0,2026-08-31T13:16:13.345Z
Korean TV Shows,151,0,151,0.78,89.9,2009,2021,2017.0,2026-08-31T13:16:13.345Z
Classic Movies,114,114,0,0.59,99.43,1942,2018,1974.0,2026-08-31T13:16:13.345Z
LGBTQ Movies,100,100,0,0.52,97.65,1993,2021,2017.0,2026-08-31T13:16:13.345Z
TV Mysteries,98,0,98,0.51,90.41,2001,2021,2018.0,2026-08-31T13:16:13.345Z
Science & Nature TV,92,0,92,0.48,86.09,2007,2021,2017.0,2026-08-31T13:16:13.345Z
TV Sci-Fi & Fantasy,84,0,84,0.44,89.88,1963,2021,2016.0,2026-08-31T13:16:13.345Z
TV Horror,75,0,75,0.39,90.6,2008,2021,2018.0,2026-08-31T13:16:13.345Z
Cult Movies,71,71,0,0.37,99.79,1970,2018,1994.0,2026-08-31T13:16:13.345Z
Anime Features,71,71,0,0.37,98.87,1979,2021,2011.0,2026-08-31T13:16:13.345Z
Teen TV Shows,69,0,69,0.36,89.78,1998,2021,2016.0,2026-08-31T13:16:13.345Z
Faith & Spirituality,65,65,0,0.34,99.08,2000,2021,2016.0,2026-08-31T13:16:13.345Z
TV Thrillers,57,0,57,0.30,89.65,1998,2021,2018.0,2026-08-31T13:16:13.345Z
Stand-Up Comedy & Talk Shows,56,0,56,0.29,90.09,2007,2021,2018.0,2026-08-31T13:16:13.345Z
Movies,53,53,0,0.27,93.02,1988,2021,2014.0,2026-08-31T13:16:13.345Z
Classic & Cult TV,28,0,28,0.15,90.18,1963,2020,2004.0,2026-08-31T13:16:13.345Z
TV Shows,16,0,16,0.08,91.56,1925,2021,1999.0,2026-08-31T13:16:13.345Z
