add_year,add_month,month_date,total_content_added,movies_added,tv_shows_added,avg_quality_score,rolling_3month_avg,same_month_prior_year,distinct_ratings_added,created_at
2021,9,2021-09-01T00:00:00.000Z,181,116,65,94.28,205.0,168,10,2026-08-31T13:16:27.815Z
2021,8,2021-08-01T00:00:00.000Z,177,117,60,94.55,213.33,128,9,2026-08-31T13:16:27.815Z
2021,7,2021-07-01T00:00:00.000Z,257,169,88,93.91,198.33,145,9,2026-08-31T13:16:27.815Z
2021,6,2021-06-01T00:00:00.000Z,206,123,83,94.15,175.33,156,9,2026-08-31T13:16:27.815Z
2021,5,2021-05-01T00:00:00.000Z,132,94,38,94.66,143.67,157,10,2026-08-31T13:16:27.815Z
2021,4,2021-04-01T00:00:00.000Z,188,135,53,94.97,136.0,176,10,2026-08-31T13:16:27.815Z
2021,3,2021-03-01T00:00:00.000Z,111,74,37,95.41,116.67,137,9,2026-08-31T13:16:27.815Z
2021,2,2021-02-01T00:00:00.000Z,109,65,44,94.91,135.67,114,8,2026-08-31T13:16:27.815Z
2021,1,2021-01-01T00:00:00.000Z,130,94,36,96.23,150.33,204,10,2026-08-31T13:16:27.815Z
2020,12,2020-12-01T00:00:00.000Z,168,101,67,95.09,162.67,215,10,2026-08-31T13:16:27.815Z
2020,11,2020-11-01T00:00:00.000Z,153,102,51,95.72,162.67,255,9,2026-08-31T13:16:27.815Z
2020,10,2020-10-01T00:00:00.000Z,167,116,51,96.08,154.33,193,8,2026-08-31T13:16:27.815Z
2020,9,2020-09-01T00:00:00.000Z,168,115,53,95.65,147.0,123,9,2026-08-31T13:16:27.815Z
2020,8,2020-08-01T00:00:00.000Z,128,81,47,94.73,143.0,131,9,2026-08-31T13:16:27.815Z
2020,7,2020-07-01T00:00:00.000Z,145,102,43,95.93,152.67,157,10,2026-08-31T13:16:27.815Z
2020,6,2020-06-01T00:00:00.000Z,156,115,41,96.12,163.0,168,10,2026-08-31T13:16:27.815Z
2020,5,2020-05-01T00:00:00.000Z,157,105,52,96.27,156.67,138,9,2026-08-31T13:16:27.815Z
2020,4,2020-04-01T00:00:00.000Z,176,126,50,96.11,142.33,161,9,2026-08-31T13:16:27.815Z
2020,3,2020-03-01T00:00:00.000Z,137,93,44,95.62,151.67,172,9,2026-08-31T13:16:27.815Z
2020,2,2020-02-01T00:00:00.000Z,114,72,42,95.61,177.67,148,10,2026-08-31T13:16:27.815Z
2020,1,2020-01-01T00:00:00.000Z,204,151,53,96.99,224.67,153,10,2026-08-31T13:16:27.815Z
2019,12,2019-12-01T00:00:00.000Z,215,168,47,97.26,221.0,185,8,2026-08-31T13:16:27.815Z
2019,11,2019-11-01T00:00:00.000Z,255,187,68,96.47,190.33,154,11,2026-08-31T13:16:27.815Z
2019,10,2019-10-01T00:00:00.000Z,193,128,65,94.79,149.0,191,10,2026-08-31T13:16:27.815Z
2019,9,2019-09-01T00:00:00.000Z,123,86,37,96.18,137.0,124,11,2026-08-31T13:16:27.815Z
2019,8,2019-08-01T00:00:00.000Z,131,87,44,95.53,152.0,163,9,2026-08-31T13:16:27.815Z
2019,7,2019-07-01T00:00:00.000Z,157,98,59,94.68,154.33,152,10,2026-08-31T13:16:27.815Z
2019,6,2019-06-01T00:00:00.000Z,168,122,46,95.89,155.67,78,10,2026-08-31T13:16:27.815Z
2019,5,2019-05-01T00:00:00.000Z,138,91,47,94.49,157.0,97,10,2026-08-31T13:16:27.815Z
2019,4,2019-04-01T00:00:00.000Z,161,118,43,96.02,160.33,115,9,2026-08-31T13:16:27.815Z
2019,3,2019-03-01T00:00:00.000Z,172,119,53,95.87,157.67,173,10,2026-08-31T13:16:27.815Z
2019,2,2019-02-01T00:00:00.000Z,148,103,45,95.91,162.0,87,10,2026-08-31T13:16:27.815Z
2019,1,2019-01-01T00:00:00.000Z,153,116,37,95.95,164.0,128,11,2026-08-31T13:16:27.815Z
2018,12,2018-12-01T00:00:00.000Z,185,124,61,94.73,176.67,118,10,2026-08-31T13:16:27.815Z
2018,11,2018-11-01T00:00:00.000Z,154,118,36,96.72,156.33,85,10,2026-08-31T13:16:27.815Z
2018,10,2018-10-01T00:00:00.000Z,191,146,45,96.2,159.33,126,10,2026-08-31T13:16:27.815Z
2018,9,2018-09-01T00:00:00.000Z,124,81,43,94.44,146.33,113,10,2026-08-31T13:16:27.815Z
2018,8,2018-08-01T00:00:00.000Z,163,129,34,97.06,131.0,115,10,2026-08-31T13:16:27.815Z
2018,7,2018-07-01T00:00:00.000Z,152,125,27,97.07,109.0,79,10,2026-08-31T13:16:27.815Z
2018,6,2018-06-01T00:00:00.000Z,78,50,28,94.17,96.67,94,9,2026-08-31T13:16:27.815Z
2018,5,2018-05-01T00:00:00.000Z,97,70,27,95.57,128.33,86,10,2026-08-31T13:16:27.815Z
