rating,total_content,movie_count,tv_show_count,percentage_of_total,avg_quality_score,earliest_release_year,latest_release_year,avg_release_year,maturity_category,created_at
TV-MA,3195,2052,1143,36.39,95.13,1945,2021,2017.0,Mature 17+,2026-08-31T13:16:22.374Z
TV-14,2158,1426,732,24.58,95.24,1925,2021,2014.0,Teens 13+,2026-08-31T13:16:22.374Z
TV-PG,862,539,323,9.82,94.01,1943,2021,2014.0,Parental Guidance,2026-08-31T13:16:22.374Z
R,796,794,2,9.07,99.77,1962,2021,2010.0,Mature 17+,2026-08-31T13:16:22.374Z
PG-13,489,489,0,5.57,99.63,1955,2021,2009.0,Teens 13+,2026-08-31T13:16:22.374Z
TV-Y7,334,139,195,3.80,91.72,1981,2021,2016.0,Parental Guidance,2026-08-31T13:16:22.374Z
TV-Y,307,131,176,3.50,91.03,1992,2021,2017.0,All Ages,2026-08-31T13:16:22.374Z
PG,286,286,0,3.26,99.58,1973,2021,2008.0,Parental Guidance,2026-08-31T13:16:22.374Z
TV-G,220,126,94,2.51,93.0,1954,2021,2016.0,All Ages,2026-08-31T13:16:22.374Z
NR,80,75,5,0.91,97.06,1958,2018,2011.0,Not Rated,2026-08-31T13:16:22.374Z
G,41,41,0,0.47,99.76,1956,2020,1998.0,All Ages,2026-08-31T13:16:22.374Z
TV-Y7-FV,6,5,1,0.07,92.5,2012,2018,2015.0,Other,2026-08-31T13:16:22.374Z
NC-17,3,3,0,0.03,96.67,2013,2018,2015.0,Mature 17+,2026-08-31T13:16:22.374Z
UR,3,3,0,0.03,100.0,1974,2016,1999.0,Not Rated,2026-08-31T13:16:22.374Z
